neighborhood,black_18,black_under_18,county,hispanic_18,hispanic_under_18,other_18,other_under_18,population_black_total,population_hisp_total,population_other_total,population_total,population_under_18,population_under_3,population_under_5,population_white_total,poverty_under_5,state,white_18,white_under_18,children_in_poverty_ratio,female_householder_no_husband_ratio,homeownership_ratio,median_family_income_ratio,no_hs_degree_18_24_ratio,no_hs_degree_25_plus_ratio,single_mother_families_perc_ratio,total_neighborhood_poverty_ratio,work_ratio,youth_ready_to_work_ratio,black_18_margin,black_under_18_margin,hispanic_18_margin,hispanic_under_18_margin,other_18_margin,other_under_18_margin,population_black_total_margin,population_hisp_total_margin,population_other_total_margin,population_total_margin,population_under_18_margin,population_under_3_margin,population_under_5_margin,population_white_total_margin,poverty_under_5_margin,white_18_margin,white_under_18_margin
16,2521.0,645.0,1.0,219.0,87.0,35.0,35.0,3145.0,306.0,164.0,4432.0,939.0,164.0,265.0,817.0,0.0,11.0,645.0,172.0,0.0,0.0513447432763,0.876179245283,157540.0,0.287878787879,0.0449165402124,0.0513447432763,0.0380434782609,0.0886577513621,0.737373737374,433.920499631,207.668004276,293.405862245,203.877414149,363.085389406,363.085389406,382.0,211.0,172.441294358,327.0,183.0,76.0,100.004999875,212.0,134.350288425,242.061975535,116.833214455
17,12204.478,2469.211,6.07,2614.902,1301.286,112.934,112.934,14484.017,3916.188,706.288,21138.803,4071.595,640.038,1203.886,2032.31,196.732,66.77,1844.146,188.164,0.17422272389,0.36621851829,0.490799713556,66675.5313006,0.186240291302,0.17280289661,0.36621851829,0.135943329548,0.104253659512,0.795930421728,966.723434835,420.704382502,934.518825774,490.60318639,1032.80714484,1032.80714484,872.618202321,795.382894731,340.64982803,1057.90854392,582.782637261,173.887776675,242.540737028,428.183403098,261.914559481,701.934725514,556.21158941
18,18677.37,4619.533,10.267,5851.976,1997.936,124.826,124.826,22734.592,7849.912,1274.946,36415.172,7197.86,1380.367,2433.841,4555.722,466.73,112.937,4100.157,455.565,0.195564241568,0.409744383138,0.549598590882,74170.745688,0.234611333671,0.195697483453,0.409744383138,0.13872181216,0.135590233864,0.766861434868,1382.35819245,582.921850877,1122.12993477,585.773483985,1311.67516552,1311.67516552,1198.04105557,957.102406204,570.211672994,1409.70173577,770.992767106,286.568376554,406.708949892,470.21998966,364.282302205,815.009369778,665.682682778
19,7671.834,1911.485,3.999,611.331,477.573,34.24,34.24,9506.9,1088.904,446.534,12236.978,2460.74,536.122,726.208,1194.64,48.361,43.989,1157.198,37.442,0.166010431602,0.354136442998,0.579772385611,71203.2037105,0.114211851275,0.147727396673,0.354136442998,0.122226012063,0.128324993493,0.820488114361,752.664043978,339.603665746,466.241354171,341.449264108,775.639925312,775.639925312,671.537436683,317.479763731,311.188427354,682.684829188,386.816313882,267.141146471,275.148003671,170.793461131,228.329131755,499.242015129,469.118517333
20,7977.902,1598.382,3.56,655.613,385.82,16.0,16.0,9547.144,1041.433,319.567,12519.58,2050.509,270.721,406.101,1611.436,49.856,39.16,1561.129,50.307,0.216171031595,0.331561407228,0.638810833339,71670.5545336,0.125802940519,0.136327527938,0.331561407228,0.141472322601,0.130999129533,0.813401140744,715.670384827,309.869836998,577.03131677,373.739734172,737.257936079,737.257936079,644.80197363,439.640479977,311.926171959,666.968309647,364.351118357,127.531327994,172.865732697,245.978884023,208.663089108,485.388950707,418.445721788
21,11762.898,2586.762,9.06,1435.19,713.636,-0.999,-0.999,14090.663,2148.826,1106.063,20654.651,3420.299,628.564,1167.71,3309.099,128.432,99.66,3188.199,120.9,0.166295662186,0.541997953911,0.470446959117,74514.3323142,0.0923822971403,0.175446778205,0.541997953911,0.178294522827,0.0916924477241,0.819934647382,1115.78001069,457.967213536,903.854750547,711.445870791,1216.93855542,1216.93855542,994.346151598,557.492764994,559.692360834,1051.37166487,427.252113035,216.834409799,261.691302723,478.600850347,380.507655361,900.868834952,763.220730742
22,8056.705,2321.402,3.968,613.709,164.531,64.0,64.0,10271.143,778.24,508.521,13011.74,2827.357,410.355,634.383,1453.836,182.368,43.648,1176.412,277.424,0.281204860634,0.589171164202,0.622360184123,75083.7370554,0.179580225081,0.165821988093,0.589171164202,0.195431963557,0.127886745767,0.721529323174,776.701209375,364.850848819,525.924007074,444.774266586,791.162769412,791.162769412,682.290846505,280.663344596,346.253058339,790.515683719,356.790268242,136.818354171,173.04171615,286.447918421,182.12446927,499.751290202,409.510612916
23,10980.901,2903.218,5.133,421.851,110.586,88.0,88.0,13844.676,532.437,481.413,16025.115,3164.838,542.078,859.388,1166.589,262.596,56.463,1103.555,63.034,0.419454548798,0.67046727131,0.273924843286,36204.8737397,0.206392641482,0.263043167968,0.67046727131,0.316431540049,0.148607063072,0.583786674018,1075.92186006,419.635649028,641.953602308,551.103617662,1033.77803519,1033.77803519,996.556553596,329.22519666,399.284606672,1021.24594711,511.602138483,186.777415725,230.013721873,268.289041893,184.23007036,631.767372224,571.971155398
24,4857.946,954.67,1.881,218.138,67.255,0.0,0.0,5774.163,285.393,142.7,6513.487,1064.975,299.797,425.971,311.231,14.234,20.691,268.181,43.05,0.111739938093,0.266526895962,0.524871636428,78480.5750912,0.0787572190432,0.17056099832,0.266526895962,0.136476890719,0.118411124209,0.818709077462,521.602720876,301.882475949,333.428108349,309.91663616,587.365949372,587.365949372,425.727101934,122.987731372,201.096887087,435.704923063,250.920856598,124.391957654,137.31696282,136.289629305,148.322926596,336.795181985,307.987226281
25,9218.648,2254.864,9.476,956.032,289.495,106.853,106.853,11165.172,1245.527,1250.833,25194.163,3947.577,984.335,1596.37,11532.631,208.686,104.236,10236.266,1296.365,0.239390160359,0.476097077773,0.535053337305,113944.593653,0.0811507630784,0.097928328239,0.476097077773,0.148059885813,0.0741085349837,0.820870755233,1053.77021642,604.522859877,867.671858154,775.469780164,1255.44048334,1255.44048334,850.233696585,389.231388104,559.865005539,1015.85807612,488.647765427,203.897243387,283.015453318,615.279268642,362.146724319,865.518040772,608.730564766
26,8020.104,1664.54,10.51,895.883,371.795,256.067,256.067,9512.678,1267.678,1586.887,28150.625,3878.448,1121.444,1683.1,15783.382,124.314,115.61,14197.336,1586.046,0.225207770167,0.243555428589,0.53503772286,155860.757321,0.190220131245,0.0965947813296,0.243555428589,0.116928385005,0.0517486784864,0.930271465584,1354.85902235,687.063418424,826.234458218,764.726224963,1277.59837539,1277.59837539,1174.34922899,312.821324083,582.203667823,1251.01010844,404.197127642,236.083040994,306.775803715,694.646226301,381.393453713,945.808294757,641.887802282
27,573.0,119.0,1.0,63.0,0.0,16.0,16.0,639.0,63.0,166.0,1863.0,194.0,59.0,88.0,995.0,0.0,11.0,936.0,59.0,0.0,0.561403508772,0.277777777778,89833.0,0.0,0.105419450631,0.561403508772,0.100340136054,0.010498687664,0.958847736626,306.338048567,192.870422823,276.217305758,268.700576851,437.171591026,437.171591026,236.0,64.0,164.996969669,321.0,161.0,53.0,62.9682459657,273.0,134.350288425,361.009695161,236.218119542
28,3295.81,1460.67,2.009,0.616,0.55,0.987,0.987,4756.37,1.166,5.922,4821.801,1462.207,241.485,502.0,58.343,347.34,22.099,58.343,0.0,0.606656583009,0.832206546832,0.206821199024,24809.2516528,0.463763467434,0.253016527844,0.832206546832,0.443438803889,0.201550357795,0.542897931802,566.541909007,271.289527673,400.475874705,377.573227255,677.898937587,677.898937587,497.365518149,133.489266539,267.664411717,499.369238036,317.517673866,118.416031888,164.841949203,128.720643022,139.937544873,398.922236207,377.584356932
29,1255.558,1299.315,0.893,0.0,0.0,0.0,0.0,2554.873,0.0,11.609,2566.482,1299.315,38.399,137.522,0.0,62.51,9.823,0.0,0.0,0.530103806228,0.856526429342,0.377380952381,40000.0,0.0882352941176,0.242042931162,0.856526429342,0.412709497207,0.157657657658,1.0,457.405200111,289.023143793,254.505,239.949615128,551.148864218,551.148864218,354.521,84.835,170.197928674,353.628,324.159,59.831,108.978933547,84.835,64.7963655231,254.505,239.949615128
30,4241.459,1642.305,2.065,4.992,0.0,0.0,0.0,5883.764,4.992,31.051,5945.9,1642.771,210.782,411.46,26.093,272.585,22.715,25.627,0.466,0.496131960872,0.88881566596,0.24939247785,29259.9321329,0.257585361693,0.185087744118,0.88881566596,0.325327664556,0.187213592431,0.585300062795,622.056338588,300.018701779,368.370677347,355.103137975,657.536161226,657.536161226,544.924643377,97.9730438896,257.70743668,544.617906312,301.869699367,109.648255002,167.325479952,97.2908430275,121.034453347,366.857650927,353.721681421
31,8274.638,3977.057,4.547,206.928,90.472,2.0,2.0,12149.083,297.4,26.613,12606.356,4070.605,421.817,672.848,133.26,300.702,50.017,132.184,1.076,0.506814005008,0.824351145349,0.390137677459,36943.2632731,0.368978750863,0.226225354972,0.824351145349,0.340560758954,0.174452303499,0.603290054047,938.8402544,475.483882494,603.239520855,532.600344754,1048.22686682,1048.22686682,805.99948979,283.257466431,418.288606071,828.855922853,545.147257732,153.784910394,185.090340096,80.2469461413,208.654404068,546.155247468,540.227713073
32,8806.981,3753.946,3.945,133.782,42.793,-25.489,-25.489,12461.504,176.575,79.062,12802.024,3771.576,768.808,1215.175,84.883,587.601,43.395,84.557,0.326,0.356093445328,0.718648743032,0.396648982185,49318.7004962,0.211300565073,0.14420378728,0.718648743032,0.241634889715,0.214443297651,0.600982619834,1021.50657912,497.921286337,506.551066461,496.710386257,1043.91614801,1043.91614801,888.611181915,99.3618393399,354.894242179,875.450737725,576.786715589,293.416696248,348.561137353,57.2702357949,288.681949214,515.471700007,512.280385726
33,11332.373,4613.199,6.713,111.928,3.528,100.0,100.0,15909.184,115.456,245.599,16392.682,4727.185,622.992,1262.3,122.443,563.735,73.843,111.985,10.458,0.35962389411,0.657274280957,0.389538148118,42019.10271,0.215522109307,0.178662711911,0.657274280957,0.236300555355,0.221224671645,0.545145973747,984.896461481,480.962297197,675.584070269,665.576942533,1176.79212496,1176.79212496,860.873401427,115.849771554,484.441400427,846.157903727,526.360647594,185.807986139,263.188556774,182.977609649,264.850040855,683.33562904,658.381937999
34,12300.985,2271.148,5.355,183.158,13.207,60.949,60.949,14541.556,196.365,243.096,15352.668,2346.978,460.44,689.715,371.651,236.655,58.905,369.977,1.674,0.271793342962,0.680250963121,0.486497561614,65349.8115699,0.278987881482,0.140335120992,0.680250963121,0.200053595593,0.161133986683,0.61834055195,910.416757101,370.924980737,598.248556482,580.095656781,982.759417965,982.759417965,829.892099679,146.254450589,402.914935573,845.010975666,382.837746895,160.263357824,219.006686676,159.809513722,279.725944928,608.846533599,587.498953871
35,4544.006,903.03,1.482,174.212,0.0,1.54,1.54,5411.036,174.212,69.97,5830.888,904.57,94.762,156.98,175.67,15.212,16.302,175.67,0.0,0.2195469897,0.706715293,0.429141552493,63278.7993553,0.335815503191,0.109348103315,0.706715293,0.174598753469,0.216401892067,0.497846333775,573.850526545,268.640829652,313.897264525,285.796885917,549.221135628,549.221135628,499.360122016,129.813838538,189.408287179,499.743145738,257.130784746,86.5333079224,109.036154976,95.6653744675,138.60335488,301.383018553,285.796885917
36,4998.826,2158.256,2.013,53.0,0.0,0.013,0.013,7157.082,53.0,52.078,7344.927,2158.269,364.573,663.236,82.767,305.664,22.143,82.767,0.0,0.530114129186,0.772976325744,0.192273067991,26089.2831767,0.343110883843,0.206641767239,0.772976325744,0.451646960583,0.231256259247,0.744532586646,834.652993178,352.179049094,387.960986473,380.016054661,796.219483247,796.219483247,756.713642272,78.1122604013,272.083804737,762.000579187,470.224392478,140.874261325,193.77840109,72.9267353993,144.708648066,386.950268815,380.016054661
37,4965.364,2899.074,2.978,64.384,59.45,-35.0,-35.0,7787.548,123.834,0.0,7928.272,2923.524,580.942,981.764,16.89,697.996,32.758,16.89,0.0,0.583916225425,0.788492811319,0.167651224202,26252.1598816,0.272111253922,0.240211265599,0.788492811319,0.409155868012,0.161875830307,0.622402776835,798.151056906,422.33043367,437.486243436,424.832673108,932.543045698,932.543045698,679.734741089,104.457709414,365.255171764,677.279094034,545.282121416,173.795716587,227.325004098,97.2803947566,249.575106211,472.145761396,462.015307971
38,7948.328,4667.357,3.626,115.085,127.229,-99.229,-99.229,12482.301,242.314,10.128,12807.019,4695.357,871.905,1548.36,72.276,630.803,39.886,72.276,0.0,0.446315435191,0.795607547634,0.17345978674,26835.2228197,0.305286336857,0.217591939444,0.795607547634,0.382561633642,0.279060444071,0.61380742333,976.659027875,514.557003185,469.074226608,440.6769779,985.789763832,985.789763832,816.406116588,160.730928004,386.986921311,827.533963001,517.970912791,224.905995874,318.310794371,143.629387313,207.56395823,514.929009185,494.492147157
39,19262.088,8107.543,10.253,214.845,215.771,-45.191,-45.191,27053.015,430.616,340.452,28206.58,8295.123,1592.843,2501.659,382.497,1466.935,112.783,365.497,17.0,0.523777477755,0.833277692502,0.24436215839,34679.3555211,0.242178547567,0.181393761095,0.833277692502,0.365693702976,0.242626612289,0.564255033835,1766.52305737,786.52810612,865.317089977,817.457569695,1698.65397648,1698.65397648,1583.2420063,283.790042031,618.475377955,1554.5579591,948.636250016,341.437032373,438.662818853,186.736325989,404.459932715,856.458821219,835.853609791
40,218.768,26.862,0.121,61.468,23.111,0.0,0.0,241.032,84.579,11.858,428.098,54.571,7.502,23.111,90.629,0.0,1.331,86.031,4.598,0.0,0.538674033149,0.516386182462,65234.0,0.144578313253,0.149241819633,0.538674033149,0.142028100183,0.0563218390805,0.702637889688,54.7755920917,27.396548414,55.9116896364,28.2002694491,52.2228206151,52.2228206151,46.585,48.279,14.9996082282,79.134,25.289,8.712,15.5050062883,51.183,16.2563848995,56.2277769345,23.2779597474
42,0.108,0.0,0.003,0.534,0.24,0.0,0.0,0.108,0.774,0.252,4.299,0.597,0.039,0.111,3.165,0.0,0.033,2.808,0.357,0.0,0.0555555555556,0.633165829146,232596.0,0.484375,0.0264957264957,0.0555555555556,0.0467550593161,0.0132450331126,1.0,0.811110350076,0.806101730553,0.704163333325,0.586298558757,1.09916331817,1.09916331817,0.09,0.39,0.524348166775,0.555,0.123,0.054,0.09,0.63,0.403050865276,0.772259671354,0.446637436855
43,12.852,10.01,0.007,0.07,0.0,0.0,0.0,22.862,0.07,0.0,23.205,10.01,1.022,1.813,0.273,0.686,0.077,0.273,0.0,0.428169014085,0.818253968254,0.1904340124,27740.0,0.341666666667,0.215197568389,0.818253968254,0.410287443268,0.332977588047,0.583333333333,2.92583253109,1.67203319345,1.88466469166,1.88090403796,3.36215764056,3.36215764056,2.401,0.119,1.48698520504,2.408,1.197,0.602,0.866333076824,0.28,0.645975231723,1.90163087901,1.88090403796
44,702.732,308.09,1.114,292.0,226.0,51.42,51.42,992.822,518.0,176.42,3231.196,910.51,287.23,428.168,1543.954,28.576,12.254,1218.954,325.0,0.059889676911,0.135048166437,0.109110462365,63120.1248443,0.0279608307949,0.0245793950597,0.135048166437,0.0590744922596,0.0809786500581,0.838888798424,289.93080896,169.639022291,322.736115271,180.975996198,383.914471517,383.914471517,230.190086885,267.219551867,190.274430747,650.096035026,251.243509679,108.843936441,128.379092394,426.026906362,100.621576712,451.925033766,150.788962461
45,0.372,0.0,1.003,0.324,0.093,0.267,0.267,0.372,0.417,0.552,8.301,0.882,0.264,0.363,6.96,0.0,11.033,6.438,0.522,0.0,0.0498220640569,0.381596752368,237841.0,0.0,0.00374707259953,0.0498220640569,0.113263785395,0.0467079347214,0.98275862069,285.00124105,268.701786001,285.001042024,268.701497447,475.00138614,475.00138614,95.0003031574,95.0005222354,212.427154787,95.0034787205,95.0002387839,95.0001002315,134.350389445,95.0025275927,134.350893,285.001065235,268.700813054
